id,question,probability,close_time,url,created_time,collected_at,source
zdd9Rp6qQO,Valterra Mogalakwena PGM 5E+Au Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/valterra-mogalakwena-pgm-5eau-produ-ShuEsdlgc9,1769802705247,2026-02-01T02:58:41.135285+00:00,manifold
8C29Acd6UP,"האם יורידו את הרף במת""מ ל70 או פחות?",0.8998761015549264,1774370400000,https://manifold.markets/YehudaLester/-70,1769877675749,2026-02-01T02:58:41.135304+00:00,manifold
OzSnPALdcd,Impala Platinum Two PGM 6E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/impala-platinum-two-pgm-6e-producti-c9U8LllEU5,1769802711958,2026-02-01T02:58:41.135309+00:00,manifold
8AupNNZRtA,Impala Platinum Zimplats PGM 6E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/impala-platinum-zimplats-pgm-6e-pro-5EustUN5P2,1769802709550,2026-02-01T02:58:41.135313+00:00,manifold
Oy92A6nhgz,Will Moltbook be TIME person of the year 2026?,0.04705882352941182,1798761540000,https://manifold.markets/PierreS/will-moltbook-be-time-person-of-the,1769835607082,2026-02-01T02:58:41.135316+00:00,manifold
uEttyzuhq2,Will there be a tie for most Oscars? (2026),0.26355634052824767,1773665940000,https://manifold.markets/wylderai/will-there-be-a-tie-for-most-oscars,1769884079771,2026-02-01T02:58:41.135320+00:00,manifold
zlCspt0EQR,Impala Platinum Marula PGM 6E Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/impala-platinum-marula-pgm-6e-produ-LnUEd5558Z,1769802708695,2026-02-01T02:58:41.135324+00:00,manifold
P17Bd3GOgq,Do you like 95% odds?,0.9443174220524658,1769981220000,https://manifold.markets/4fa/do-you-like-95-odds,1769894848170,2026-02-01T02:58:41.135327+00:00,manifold
y8A6ARQULZ,Valterra Modikwa PGM 5E+Au Production 2027,0.4708984742889433,1803859200000,https://manifold.markets/MikhailTal/valterra-modikwa-pgm-5eau-productio-ZEISuI2zsU,1769802699338,2026-02-01T02:58:41.135330+00:00,manifold
CORtIUEhUy,Will the house pass the funding bill on Monday?,0.7201070905555657,1770163140000,https://manifold.markets/robert/will-the-house-pass-the-funding-bil,1769853890726,2026-02-01T02:58:41.135334+00:00,manifold
